id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_renovated,lat,long,hous_val_amt,trend,trend_sq,house_age,was_renovated
7129300520,2014-10-13,221900.0,3,1,1180,5650,1.0,0,0,3,7,1180,0,0,47.5112,-122.257,175400.0,5,25,59,False
6414100192,2014-12-09,538000.0,3,2,2570,7242,2.0,0,0,3,7,2170,400,1991,47.721,-122.319,225900.0,7,49,63,True
5631500400,2015-02-25,180000.0,2,1,770,10000,1.0,0,0,3,6,770,0,0,47.7379,-122.233,246600.0,9,81,82,False
2487200875,2014-12-09,604000.0,4,3,1960,5000,1.0,0,0,5,7,1050,910,0,47.5208,-122.393,280200.0,7,49,49,False
1954400510,2015-02-18,510000.0,3,2,1680,8080,1.0,0,0,3,8,1680,0,0,47.6168,-122.045,239850.0,9,81,28,False
7237550310,2014-05-12,1225000.0,4,4,5420,101930,1.0,0,0,3,11,3890,1530,0,47.6561,-122.005,349000.0,0,0,13,False
1321400060,2014-06-27,257500.0,3,2,1715,6819,2.0,0,0,3,7,1715,0,0,47.3097,-122.327,166800.0,1,1,19,False
2008000270,2015-01-15,291850.0,3,2,1060,9711,1.0,0,0,3,7,1060,0,0,47.4095,-122.315,171300.0,8,64,52,False
3793500160,2015-03-12,323000.0,3,2,1890,6560,2.0,0,0,3,7,1890,0,0,47.3684,-122.031,212100.0,10,100,12,False
9212900260,2014-05-27,468000.0,2,1,1160,6000,1.0,0,0,4,7,860,300,0,47.69,-122.292,282800.0,0,0,72,False
114101516,2014-05-28,310000.0,3,1,1430,19901,1.5,0,0,4,7,1430,0,0,47.7558,-122.229,246600.0,0,0,87,False
6054650070,2014-10-07,400000.0,3,2,1370,9680,1.0,0,0,4,7,1370,0,0,47.6127,-122.045,239850.0,5,25,37,False
1175000570,2015-03-12,530000.0,5,2,1810,4850,1.5,0,0,3,7,1810,0,0,47.67,-122.394,255400.0,10,100,115,False
9297300055,2015-01-24,650000.0,4,3,2950,5000,2.0,0,3,3,9,1980,970,0,47.5714,-122.375,200000.0,8,64,36,False
1875500060,2014-07-31,395000.0,3,2,1890,14040,2.0,0,0,3,7,1890,0,0,47.7277,-121.962,256400.0,2,4,20,False
6865200140,2014-05-29,485000.0,4,1,1600,4300,1.5,0,0,4,7,1600,0,0,47.6648,-122.343,279200.0,0,0,98,False
16000397,2014-12-05,189000.0,2,1,1200,9850,1.0,0,0,4,7,1200,0,0,47.3089,-122.21,141500.0,7,49,93,False
6300500875,2014-05-14,385000.0,4,2,1620,4980,1.0,0,0,4,7,860,760,0,47.7025,-122.341,204200.0,0,0,67,False
2524049179,2014-08-26,2000000.0,3,3,3050,44867,1.0,0,4,3,9,2330,720,0,47.5316,-122.233,573900.0,3,9,46,False
7137970340,2014-07-03,285000.0,5,2,2270,6300,2.0,0,0,3,8,2270,0,0,47.3266,-122.169,211200.0,2,4,19,False
8091400200,2014-05-16,252700.0,2,2,1070,9643,1.0,0,0,3,7,1070,0,0,47.3533,-122.166,239850.0,0,0,29,False
3814700200,2014-11-20,329000.0,3,2,2450,6500,2.0,0,0,4,8,2450,0,0,47.3739,-122.172,239850.0,6,36,29,False
1202000200,2014-11-03,233000.0,3,2,1710,4697,1.5,0,0,5,6,1710,0,0,47.3048,-122.218,141500.0,6,36,73,False
1794500383,2014-06-26,937000.0,3,2,2450,2691,2.0,0,0,3,8,1750,700,0,47.6386,-122.36,402400.0,1,1,99,False
3303700376,2014-12-01,667000.0,3,1,1400,1581,1.5,0,0,5,8,1400,0,0,47.6221,-122.314,466000.0,7,49,105,False
5101402488,2014-06-24,438000.0,3,2,1520,6380,1.0,0,0,3,7,790,730,0,47.695,-122.304,282800.0,1,1,66,False
1873100390,2015-03-02,719000.0,4,2,2570,7173,2.0,0,0,3,8,2570,0,0,47.7073,-122.11,279400.0,10,100,10,False
8562750320,2014-11-10,580500.0,3,2,2320,3980,2.0,0,0,3,8,2320,0,0,47.5391,-122.07,308700.0,6,36,11,False
2426039314,2014-12-01,280000.0,2,2,1190,1265,3.0,0,0,3,7,1190,0,0,47.7274,-122.357,204200.0,7,49,9,False
461000390,2014-06-24,687500.0,4,2,2330,5000,1.5,0,0,4,7,1510,820,0,47.6823,-122.368,254000.0,1,1,85,False
7589200193,2014-11-10,535000.0,3,1,1090,3000,1.5,0,0,4,8,1090,0,0,47.6889,-122.375,254000.0,6,36,85,False
7955080270,2014-12-03,322500.0,4,3,2060,6659,1.0,0,0,3,7,1280,780,0,47.4276,-122.157,196900.0,7,49,33,False
9547205180,2014-06-13,696000.0,3,2,2300,3060,1.5,0,0,3,8,1510,790,2002,47.6827,-122.31,282800.0,1,1,84,True
9435300030,2014-05-28,550000.0,4,1,1660,34848,1.0,0,0,1,5,930,730,0,47.6621,-122.132,279400.0,0,0,81,False
2768000400,2014-12-30,640000.0,4,2,2360,6000,2.0,0,0,4,8,2360,0,0,47.6702,-122.362,255400.0,7,49,110,False
7895500070,2015-02-13,240000.0,4,1,1220,8075,1.0,0,0,2,7,890,330,0,47.3341,-122.282,168400.0,9,81,46,False
2078500320,2014-06-20,605000.0,4,2,2620,7553,2.0,0,0,3,8,2620,0,0,47.5301,-122.18,209600.0,1,1,18,False
5547700270,2014-07-15,625000.0,4,2,2570,5520,2.0,0,0,3,9,2570,0,0,47.6145,-122.027,239850.0,2,4,14,False
7766200013,2014-08-11,775000.0,4,2,4220,24186,1.0,0,0,3,8,2600,1620,0,47.445,-122.347,235200.0,3,9,30,False
7203220400,2014-07-07,861990.0,5,3,3595,5639,2.0,0,0,3,9,3595,0,0,47.6848,-122.016,349000.0,2,4,0,False
9270200160,2014-10-28,685000.0,3,1,1570,2280,2.0,0,0,3,7,1570,0,0,47.6413,-122.364,402400.0,5,25,92,False
1432701230,2014-07-29,309000.0,3,1,1280,9656,1.0,0,0,4,6,920,360,0,47.4485,-122.175,196900.0,2,4,55,False
8035350320,2014-07-18,488000.0,3,2,3160,13603,2.0,0,0,3,8,3160,0,0,47.7443,-121.977,256400.0,2,4,11,False
8945200830,2015-03-25,210490.0,3,1,990,8528,1.0,0,0,3,6,990,0,0,47.3066,-122.371,177300.0,10,100,49,False
4178300310,2014-07-16,785000.0,4,2,2290,13416,2.0,0,0,4,9,2290,0,0,47.6194,-122.151,252600.0,2,4,33,False
